SMILES,Tg[K]
"CCCC(C)O",143.68
"CC(C)CCOCCO",161.83
"CCOCC(=O)CC",148.30
"CCOCC(=O)CCCCCCCCCCCCCCCCCC",234.09
"CCOCC(=O)CCCCCCCCCCCCCOO",247.32
"CCOCC(=O)CCCCCCCOCCCCCCOO",250.94
"OCCOCCOCCOCCOCCOCCOCCOCCOCCO",259.51
"OCCO",152.19
"CCO",97.62
"CO",102.03
"CCCCCCCC",98.17
"OCC(O)CO",187.66
"CCOCOCOOCCC",210.46
"C#CCOCOCOOCCC",220.92
"CC(=O)C(CC)CO",194.18
"OC(=O)CC(O)(CC(O)=O)C(O)=O",283.19
"C(C(=O)O)C(CC(=O)O)(C(=O)O)O",283.19
"CC(C)(C)CC(C)(C)c1ccc(OCCOCCOCCOCCOCCOCCOCCO)cc1",273.10
"CCCCCCCCCCCC(=O)OCCOCC(C1C(C(CO1)OCCO)OCCO)OCCO",309.39
"CC(C)CCO",126.16
"CCCCC(=O)CC",130.02
"CC(=O)OC",129.40
"O=C(O)CC(O)(CC(=O)O)C(=O)O",283.19
"O=C(O)C=CC(=O)O",251.83
"CC(O)COC",148.24
"CC(C)O",118.76
"CCCO",98.53
"CC(C(=O)O)CC(=O)O",254.80
"CCCCCCO",131.28
"CCCCCO",121.95
"CCCCO",115.42
"CCCCCCCCCOCCCOO",217.08
"CCOCCOCCO",196.25
"CCOCCOCCOCC",189.51
"O=C(O)c1cc(O)c(O)c(O)c1",295.41
"C(CCC(=O)O)CC(=O)O",260.79
"C(CCC(=O)O)CC(=O)OCC",249.57
"O1[C@H](CO)[C@@H](O)[C@H](O)[C@@H](O)[C@H]1O[C@@]2(O[C@@H]([C@@H](O)[C@@H]2O)CO)CO",339.06
"O1[C](CO)[C](O)[C](O)[C](O)[C@H]1O[C@@]2(O[C@@H]([C@@H](O)[C@@H]2O)CO)CO",351.28
"C([C@@H]1[C@H]([C@@H]([C@H]([C@H](O1)O[C@]2([C@H]([C@@H]([C@H](O2)CO)O)O)CO)O)O)O)O",339.06
"C1(C(OC2C(O1)OC(C(O2)O)O)O)O",283.51
"Oc1ccccc1",190.26
"CC(=O)OCCCC",127.09
"CCOCOCOOCC(=O)C(CC(=O)C)CC",248.50
"O=C(O)c1ccccc1C(=O)O",273.62
"c1ccc(CCOC=CC(=O)O)cc1",234.51
"O=CC(O)C(O)C(O)C(O)CO",276.27
"C([C@@H]1[C@H]([C@@H]([C@H](C(O1)O)O)O)O)O",282.32
"OCC1OC(O)C(O)C(O)C1O",282.32
"CCCCC(O)CO",186.58
"CCC(O)CO",177.69
"OCC(O)CCO",197.95
"CCCCC(O)CO",186.58
"CCOCCO",136.90
"CC(O)COC(C)COC",222.46
"CCC(C)O",120.35
